Map Link,Company,Address,Phone Number,Map Link,Website,E mail,Linkedin
Meltronics Systemtech,https://www.meltronicsgroup.com/,https://www.google.com/maps/place/Meltronics+Systemtech/data=!4m7!3m6!1s0x3bae122f7f9ddaa1:0x4e55d0618625cae7!8m2!3d12.964336!4d77.710698!16s%2Fg%2F1tdz7vrh!19sChIJodqdfy8SrjsR58olhmHQVU4?authuser=0&hl=en&rclk=1,08028525400,"82, 1st Main Rd, 5th Cross, A, AECS Layout - A Block, Kundalahalli, Marathahalli, Bengaluru, Karnataka 560037 ",[],Could not render
Maventic,http://maventic.com/,https://www.google.com/maps/place/Maventic/data=!4m7!3m6!1s0x3bae1224f65002cb:0x92b4f5ed2319dc87!8m2!3d12.9643372!4d77.7147393!16s%2Fg%2F1tgb5syq!19sChIJywJQ9iQSrjsRh9wZI-31tJI?authuser=0&hl=en&rclk=1,08296969824,"AECS Layout - C Block, AECS Layout, Brookefield, Bengaluru, Karnataka 560037 ",[],Could not render
Capgemini Technology Services India Limited,https://www.capgemini.com/,https://www.google.com/maps/place/Capgemini+Technology+Services+India+Limited/data=!4m7!3m6!1s0x3bae118a0a2c45c9:0x559e02d7f4663cdc!8m2!3d12.9736564!4d77.7176694!16s%2Fg%2F1td7xj8f!19sChIJyUUsCooRrjsR3Dxm9NcCnlU?authuser=0&hl=en&rclk=1,08041040000,"XPF8+8V4 UNIT-2B, EXPORT PROMOTION INDUSTRIAL PARK-8, 155-156, EPIP Zone Whitefield Rd, Phase 2, Brookefield, Bengaluru, Karnataka 560066 ",[],Could not render
Innobins,https://fb.com/book/innobins/,https://www.google.com/maps/place/Innobins/data=!4m7!3m6!1s0x3bae13dfe5d81f0b:0xf950c615b1ca3d9c!8m2!3d12.9677473!4d77.713313!16s%2Fg%2F11h4gv1lsh!19sChIJCx_Y5d8TrjsRnD3KsRXGUPk?authuser=0&hl=en&rclk=1,08745033690,"1st Floor, ITPL Main Rd, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560037 ",[],Could not render
Surge Software Solutions Private Limited,https://surgesoftware.co.in/,https://www.google.com/maps/place/Surge+Software+Solutions+Private+Limited/data=!4m7!3m6!1s0x3bae139df9cf6713:0xbb76b6833b5cdf62!8m2!3d12.9606699!4d77.7216099!16s%2Fg%2F11h1v9_wtv!19sChIJE2fP-Z0TrjsRYt9cO4O2drs?authuser=0&hl=en&rclk=1,07624967999,"Block 2, 21/2, 4th Main Rd, BEML Layout, Brookefield, Bengaluru, Karnataka 560066 ",[],Could not render
Girmiti Software PVT LTD,https://www.girmiti.com/,https://www.google.com/maps/place/Girmiti+Software+PVT+LTD/data=!4m7!3m6!1s0x3bae123bc4d43195:0x8148bc82f901360e!8m2!3d12.9568133!4d77.7144869!16s%2Fg%2F1pp2vk4p8!19sChIJlTHUxDsSrjsRDjYB-YK8SIE?authuser=0&hl=en&rclk=1,09986017324,"No.2/3, SLV Plaza, Arvind Avenue, 60 Feet Rd, Marathahalli, Bengaluru, Karnataka 560037 ",[],Could not render
Equidron Technologies,https://www.equidron.com/,https://www.google.com/maps/place/Equidron+Technologies/data=!4m7!3m6!1s0xc6daae514fe570b:0x331302a7eb1e38b2!8m2!3d12.9644153!4d77.7133796!16s%2Fg%2F11y3x14htz!19sChIJC1f-FOWqbQwRsjge66cCEzM?authuser=0&hl=en&rclk=1,09148315033,"First Floor, SHARADA-302, 60 Feet Rd, AECS Layout - A Block, AECS Layout, Brookefield, Bengaluru, Karnataka 560037 ",[],Could not render
Tech SaraZ,https://techsaraz.com/,https://www.google.com/maps/place/Tech+SaraZ/data=!4m7!3m6!1s0x89d22078b5b94433:0xff782ff577de9557!8m2!3d12.9662401!4d77.7183249!16s%2Fg%2F11lv8djx3y!19sChIJM0S5tXgg0okRV5Xed_UveP8?authuser=0&hl=en&rclk=1,07760231920,"3rd floor, SNN Raj Pinnacle, Graphite India Main Rd, behind RXDX Hospital, Doddanakundi Industrial Area 2, Phase 2, Whitefield, Bengaluru, Karnataka 560037 ","['info@techsaraz.com', 'privacy@techsaraz.com', 'Email: info@techsaraz.com']",https://in.linkedin.com/company/tech-saraz
Mantra Labs,https://www.mantralabsglobal.com/,https://www.google.com/maps/place/Mantra+Labs/data=!4m7!3m6!1s0x3bae172eae047ea1:0x79bceee33b11adcc!8m2!3d12.9564797!4d77.6998334!16s%2Fg%2F1jgm0jm9b!19sChIJoX4Eri4XrjsRzK0RO-PuvHk?authuser=0&hl=en&rclk=1,06364462176,"2nd floor, Novel MSR Building. 739, Subbaiah Reddy Colony, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037 ","['divya.k@mantralabsglobal.com', 'manisha@mantralabsglobal', 'hello@mantralabsglobal.com', ""first '.' last_initial@mantralabsglobal.com""]",https://in.linkedin.com/company/mantra-labs
EDC Creative Technology Solutions Pvt. Ltd.,http://edccts.com/,https://www.google.com/maps/place/EDC+Creative+Technology+Solutions+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae1225b264efcf:0xaf1326a4a443f93f!8m2!3d12.9597617!4d77.7165677!16s%2Fg%2F1v8y2h00!19sChIJz-9ksiUSrjsRP_lDpKQmE68?authuser=0&hl=en&rclk=1,08028542070,"EDC Creative Technology Solutions Private Limited, IndiQube Omega, ITPL Main Rd, BEML Layout, Brookefield, Bengaluru, Karnataka 560037 ","['sindhu@edcindia.com', 'firstname@edccts.com, lastname@edccts.com, or firstname.lastname@edccts.com']",https://in.linkedin.com/company/edc-creative-technology-solutions
Macksoft Technologies,Not present on google business profiles,https://www.google.com/maps/place/Macksoft+Technologies/data=!4m7!3m6!1s0x3bae13e1e1d61ca7:0x4de6e17d726dca0!8m2!3d12.9593262!4d77.7017165!16s%2Fg%2F11t_ztftxy!19sChIJpxzW4eETrjsRoNwm1xdu3gQ?authuser=0&hl=en&rclk=1,Not present on google business profiles,"1st floor, 6th Cross Rd, opp. Anjenya temple, Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037 ",[],https://in.linkedin.com/company/mack-soft-tech-pvt-ltd
